epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1582.78,1.02771,0.747,1.18572,0.93789,0.87602,0.93254,0.69867,0.92596,0.57432,1.16717,0.000462281,0.000462281,0.000462281
43,1619.81,1.01255,0.73958,1.18787,0.93285,0.88159,0.93185,0.69887,0.94998,0.58323,1.19065,0.000438703,0.000438703,0.000438703
44,1657.5,0.99773,0.72315,1.18293,0.95483,0.8662,0.93068,0.70426,0.92283,0.56822,1.16447,0.000415124,0.000415124,0.000415124
45,1694.29,0.99507,0.71589,1.17576,0.93986,0.88119,0.93158,0.70028,0.92868,0.5606,1.17105,0.000391546,0.000391546,0.000391546
46,1730.66,0.98878,0.71188,1.1678,0.95479,0.87041,0.9328,0.70333,0.92035,0.55283,1.16517,0.000367967,0.000367967,0.000367967
47,1769.31,0.99078,0.71252,1.17242,0.93911,0.88758,0.93686,0.70908,0.91275,0.54875,1.15901,0.000344389,0.000344389,0.000344389
48,1807.22,0.97385,0.70396,1.17155,0.94919,0.87977,0.93609,0.71397,0.90577,0.54621,1.15693,0.00032081,0.00032081,0.00032081
49,1844.16,0.97412,0.69782,1.16227,0.95246,0.88204,0.93733,0.71996,0.88592,0.53775,1.14475,0.000297232,0.000297232,0.000297232
50,1881.16,0.95952,0.67774,1.14844,0.95478,0.87888,0.93642,0.71778,0.89605,0.54037,1.15034,0.000273654,0.000273654,0.000273654
51,1940.33,0.87455,0.54936,1.12583,0.95187,0.88256,0.93805,0.71428,0.88722,0.53211,1.14476,0.000250075,0.000250075,0.000250075
52,1976.54,0.84256,0.52743,1.10439,0.95844,0.87932,0.9384,0.723,0.87433,0.52394,1.13327,0.000226497,0.000226497,0.000226497
53,2013.17,0.83579,0.51409,1.09712,0.94764,0.89088,0.94103,0.72802,0.86208,0.5124,1.12552,0.000202918,0.000202918,0.000202918
54,2051.28,0.8221,0.50549,1.0916,0.94833,0.89357,0.94213,0.73158,0.85439,0.50802,1.1226,0.00017934,0.00017934,0.00017934
55,2089.67,0.81119,0.4994,1.08485,0.95563,0.88781,0.94347,0.73455,0.84487,0.50588,1.11646,0.000155761,0.000155761,0.000155761
56,2128.14,0.80399,0.49257,1.08525,0.96019,0.88831,0.94305,0.73663,0.84449,0.49772,1.11309,0.000132183,0.000132183,0.000132183
57,2166.36,0.79088,0.48167,1.07013,0.94489,0.89907,0.94396,0.73859,0.83893,0.49244,1.11204,0.000108604,0.000108604,0.000108604
58,2204.84,0.78335,0.48006,1.06985,0.95065,0.8982,0.94512,0.74156,0.83292,0.49152,1.10696,8.50255e-05,8.50255e-05,8.50255e-05
59,2243.51,0.78653,0.47681,1.06507,0.95254,0.89883,0.94481,0.74358,0.82747,0.48463,1.10279,6.1447e-05,6.1447e-05,6.1447e-05
60,2281.91,0.77068,0.46495,1.06063,0.95093,0.89691,0.94542,0.74461,0.82709,0.4852,1.10437,3.78685e-05,3.78685e-05,3.78685e-05
